epochs,batch_size,lr,ID,model_name,t_loss,t_acc,v_loss,v_acc
20,8,0.01,2213,drop_0.5 two layers,"[2.311222200269823, 2.29397955498138, 2.27891113541343, 2.2612939113146298, 2.2123832903899157, 2.197260980482225, 2.1315276483436683, 2.0935355331990624, 2.0871528464478333, 2.022967652841048, 1.988957420572058, 1.9744404554367065, 1.9151763977942529, 1.8724835522763141, 1.8284489907227552, 1.8094911823024997, 1.738922535599052, 1.7115839812662694, 1.7183945891144987, 1.6601673364639282, 1.6817544365858104]","[11.908646003262643, 9.29853181076672, 13.050570962479608, 17.45513866231648, 18.92332789559543, 20.554649265905383, 21.04404567699837, 22.838499184339316, 24.79608482871126, 26.916802610114193, 28.87438825448613, 28.87438825448613, 29.363784665579118, 31.484502446982056, 33.931484502446985, 34.58401305057096, 37.19412724306688, 38.988580750407834, 38.499184339314844, 41.272430668841764, 39.8042414355628]","[2.300175356864929, 2.298859739303589, 2.2935765266418455, 2.290180742740631, 2.279071843624115, 2.2699488759040833, 2.2617361664772035, 2.2274253964424133, 2.239058423042297, 2.213885247707367, 2.2283517003059385, 2.2079447746276855, 2.1931985139846804, 2.1562255740165712, 2.168086361885071, 2.153835618495941, 2.149846005439758, 2.1418420314788817, 2.1402655482292174, 2.1242279529571535, 2.1219827771186828]","[10.38961038961039, 8.441558441558442, 18.181818181818183, 23.376623376623375, 34.41558441558442, 30.519480519480517, 38.961038961038966, 34.41558441558442, 33.76623376623377, 32.467532467532465, 39.61038961038961, 50.649350649350644, 46.103896103896105, 48.05194805194805, 44.8051948051948, 45.45454545454545, 50.0, 41.55844155844156, 38.311688311688314, 47.4025974025974, 46.75324675324675]"
2,8,0.01,2213,drop_0.5 two layers,"[2.302438531603132, 2.2925710182685357, 2.2753922691592923]","[9.461663947797716, 12.234910277324634, 15.660685154975528]","[2.302221143245697, 2.300021493434906, 2.291006791591644]","[9.740259740259742, 12.987012987012985, 17.532467532467532]"
2,8,0.01,2213,drop_0.5 two layers,"[2.302742338799811, 2.2918836915647827, 2.2752640959504364]","[11.745513866231647, 12.234910277324634, 13.376835236541599]","[2.3013591170310974, 2.2988089442253115, 2.290653932094574]","[11.03896103896104, 12.337662337662337, 12.337662337662337]"
2,8,0.01,2213,drop_0.5 two layers,"[2.3062018419240977, 2.2847006104209204, 2.2470132097021325]","[10.440456769983687, 12.561174551386623, 14.518760195758565]","[2.2997351050376893, 2.2949681758880613, 2.2786823511123657]","[12.987012987012985, 16.233766233766232, 17.532467532467532]"
2,8,0.1,2213,drop_0.5 two layers,"[2.3021428461198683, 2.2762836233361976, 2.2252811688881415]","[11.419249592169658, 15.00815660685155, 20.39151712887439]","[2.296193253993988, 2.2893160700798036, 2.23420786857605]","[7.792207792207792, 18.181818181818183, 20.12987012987013]"
